2005,5,May,Action,87,1
2005,5,May,Documentary,86,2
2005,5,May,Family,85,3
2005,5,May,Drama,85,3
2005,5,May,Sci-Fi,84,5
2005,6,June,Animation,174,1
2005,6,June,Sci-Fi,162,2
2005,6,June,Documentary,160,3
2005,6,June,Action,160,3
2005,6,June,Sports,159,5
2005,7,July,Sports,497,1
2005,7,July,Animation,489,2
2005,7,July,Action,464,3
2005,7,July,Drama,463,4
2005,7,July,Sci-Fi,462,5
2005,8,August,Sports,432,1
2005,8,August,Animation,408,2
2005,8,August,Sci-Fi,385,3
2005,8,August,Action,384,4
2005,8,August,Family,384,4
2006,2,February,Animation,21,1
2006,2,February,Action,17,2
2006,2,February,Sports,15,3
2006,2,February,Games,14,4
2006,2,February,New,13,5
2006,2,February,Family,13,5
